Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15.238,6.34436,15.0658,3.38062,29.5624,29.5624,0,0,178.479,718.006,134.864,72.8706,67.0409,20.3441,58.8507,1.11076,7.21381,250.554,12.6345,2.96762,4.25745,1.02587,0.348958,0.0819641,0.26699405908584595,0.206865,1.08536,0.300542,0.731355,,,3.03966,4.98265,4.50906,7.139999866485596,5.50287,-1.32622,1.51864,"27498"
"Zack Wheeler","PHI",12.8765,8.21616,16.2379,3.52073,29.7319,29.7319,0,0,186.728,759.762,165.928,79.3986,73.0467,20.8059,44.0114,0.951548,8.31017,194.391,9.36932,2.12128,4.41683,1.00281,0.255858,0.0579279,0.19792968779802322,0.234547,1.12431,0.294818,0.721974,,,3.46208,4.8609,4.41535,24.860000610351562,2.5446,-1.09096,1.13762,"10310"
"Logan Webb","SFG",12.0533,9.56315,16.5137,3.42544,29.8269,29.8269,0,0,191.215,785.21,183.041,79.1059,72.7774,16.002,40.4216,0.603485,7.22373,171.04,8.05039,1.90254,4.2314,0.753172,0.217827,0.0514786,0.1663479283452034,0.248169,1.16865,0.303419,0.717979,,,3.30149,4.56537,4.56636,58.95000076293945,3.59621,-0.0469354,1.03132,"17995"
"Kevin Gausman","TOR",12.2942,8.65408,15.8345,3.43314,29.7365,29.7365,0,0,182.675,744.389,162.755,75.7426,69.6832,22.4962,47.5734,0.691012,4.30333,213.017,10.4949,2.34384,4.47765,1.10834,0.286164,0.0639093,0.2222544476389885,0.235021,1.15138,0.306912,0.752574,,,3.37573,4.49125,4.11767,28.239999771118164,3.24278,-0.430607,1.12299,"14107"
"Aaron Nola","PHI",12.0716,8.98843,14.0859,3.88675,29.776,29.776,0,0,186.544,758.092,170.582,87.5665,80.5612,26.104,40.3657,0.897766,6.16576,195.849,9.44893,1.94748,4.85187,1.25941,0.258345,0.0532465,0.2050986923277378,0.239729,1.13082,0.295089,0.707452,,,3.72275,4.1861,3.45679,52.220001220703125,3.07393,-1.27933,1.21343,"16149"
"Gerrit Cole","NYY",13.7651,7.63545,16.9556,3.49956,30.4701,30.4701,0,0,194.896,784.5,165.239,82.3731,75.7833,27.3343,48.4436,0.546929,5.6199,218.806,10.1041,2.23706,4.51671,1.26226,0.278911,0.0617509,0.21716028451919556,0.22622,1.0964,0.284753,0.748567,,,3.66513,3.9775,4.51569,12.729999542236328,5.06884,0.438871,1.37272,"13125"
"Pablo López","MIN",12.1222,8.55151,15.0962,3.52653,29.9432,29.9432,0,0,184.111,753.87,162.777,78.4146,72.1414,21.5887,48.42,1.3717,8.75125,203.828,9.96385,2.36694,4.20959,1.05533,0.270376,0.0642286,0.20614725351333618,0.23364,1.14711,0.299583,0.733714,,,3.4968,3.95608,3.97374,35.11000061035156,5.00971,-0.112179,1.05089,"17085"
"Corbin Burnes","BAL",11.2645,8.48748,16.0497,3.51893,30.2147,30.2147,0,0,186.986,765.701,156.95,79.4677,73.1102,21.9325,57.7952,0.54052,8.69593,206.937,9.96027,2.78179,3.58053,1.05565,0.270258,0.07548,0.19477836042642593,0.224467,1.14845,0.287063,0.735045,,,3.63326,3.95294,4.38909,23.270000457763672,4.32724,0.0160095,1.04483,"19361"
"George Kirby","SEA",12.1211,8.8313,15.5397,3.54876,29.819,29.819,0,0,181.141,730.138,171.283,77.636,71.4251,22.0459,26.7739,0.983857,6.77199,171.144,8.50332,1.33026,6.39221,1.09535,0.2344,0.0366696,0.19773034751415253,0.245888,1.09339,0.296458,0.720253,,,3.50316,3.82147,3.50775,34.08000183105469,2.67257,-2.83922,1.24568,"25436"
"Tarik Skubal","DET",10.3165,9.01014,12.2121,3.43406,27.5735,27.5735,0,0,154.65,626.842,132.878,64.1397,59.0085,17.0806,40.4594,0.527831,5.29546,176.891,10.2944,2.35458,4.37206,0.994024,0.282194,0.0645448,0.2176491990685463,0.228671,1.12084,0.299129,0.730789,,,3.2908,3.80791,3.63987,50.43000030517578,3.5576,-0.0533747,1.00823,"22267"
"Zach Eflin","TBR",12.0203,8.50347,13.111,3.62295,28.2628,28.2628,0.00300763,0,165.481,669.068,154.604,72.4068,66.6142,20.2442,28.8624,1.5698,5.70711,161.025,8.75769,1.56974,5.57908,1.10102,0.240671,0.0431382,0.1975332498550415,0.243663,1.10868,0.29645,0.715938,,,3.52596,3.7179,3.52937,83.51000213623047,3.40924,0.0263922,1.08912,"13774"
"Framber Valdez","HOU",13.7517,8.25174,16.4964,3.39654,28.8731,28.8731,0,0,186.605,776.082,164.824,76.5474,70.4237,16.4532,60.0201,0.810917,10.0821,185.925,8.9672,2.89478,3.09772,0.793538,0.239569,0.0773373,0.16223186999559402,0.233468,1.20492,0.294619,0.734834,,,3.53556,3.7152,4.33313,58.029998779296875,3.50946,0.508646,1.21661,"17295"
"Zac Gallen","ARI",12.7369,8.73635,15.0823,3.64813,30.0587,30.0587,0,0,186.849,766.052,166.437,82.3248,75.7388,22.0251,50.1788,0.799546,7.57435,191.893,9.24295,2.41697,3.82418,1.06089,0.250496,0.0655031,0.1849927008152008,0.234981,1.15931,0.292106,0.722847,,,3.66072,3.55429,4.06397,39.84000015258789,3.42967,0.328268,1.00142,"19291"
"Max Fried","ATL",12.9442,6.44486,13.1833,3.34508,27.3539,27.3539,0,0,162.352,666.717,151.384,65.5893,60.3421,16.1339,39.1428,0.95359,5.37014,155.519,8.62123,2.16989,3.97312,0.894385,0.233261,0.0587098,0.17455141618847847,0.243303,1.17354,0.300188,0.743944,,,3.45363,3.54134,4.15297,61.459999084472656,3.98115,-0.219134,1.09494,"13743"
"Luis Castillo","SEA",12.8218,9.32762,15.5671,3.53152,30.2402,30.2402,0,0,187.559,768.122,160.923,79.9962,73.5965,23.0906,56.2138,1.18727,7.06332,200.278,9.61032,2.69741,3.56279,1.108,0.260737,0.0731834,0.1875539869070053,0.22831,1.1577,0.286271,0.742063,,,3.73197,3.52217,3.75874,29.299999237060547,3.21498,0.0506082,1.0527,"15689"
"Freddy Peralta","MIL",10.8633,8.74627,12.42,3.6989,28.4421,28.4421,0,0,160.998,659.063,129.674,71.9221,66.1683,21.3241,55.2587,0.668016,7.23695,194.014,10.8456,3.08904,3.511,1.19205,0.294378,0.0838444,0.2105332389473915,0.217367,1.14866,0.284211,0.728729,,,3.73128,3.39481,3.34515,53.619998931884766,2.11511,1.27079,0.928897,"18679"
"Justin Steele","CHC",11.4375,8.34085,13.5277,3.6718,28.8726,28.8726,0,0,170.31,712.047,161.056,75.5247,69.4828,17.9,49.9494,1.21911,7.14184,165.702,8.75647,2.63957,3.31739,0.945922,0.232712,0.0701491,0.1625627800822258,0.245904,1.23895,0.303713,0.728605,,,3.68115,3.36416,3.4415,100.41000366210938,1.35606,-0.665051,0.890367,"17312"
"Yoshinobu Yamamoto","LAD",12.3771,7.56054,12.353,3.73031,26.7551,26.7551,0,0,167.862,684.97,146.831,75.6254,69.5753,21.5172,45.0909,1.63887,6.24818,175.633,9.41666,2.41757,3.89509,1.15365,0.25641,0.065829,0.19058124721050262,0.23173,1.14333,0.287101,0.718777,,,3.74636,3.31893,3.30827,44.59000015258789,7.52836,0.180382,0.982202,"sa3023345"
"Jesús Luzardo","MIA",10.1548,9.1643,13.2722,3.76306,28.4225,28.4225,0,0,165.674,687.697,146.985,75.2951,69.2715,21.2442,53.9622,1.0658,6.29446,188.341,10.2313,2.93141,3.49024,1.15405,0.273872,0.078468,0.19540415704250336,0.234261,1.2129,0.300919,0.733926,,,3.7395,3.20941,3.38746,80.41000366210938,3.41359,-1.23572,0.822539,"19959"
"Tyler Glasnow","LAD",11.8475,6.33012,10.8531,3.47411,24.2896,24.2896,0,0,140.593,566.442,112.322,58.9898,54.2706,18.2712,43.4285,0.480976,2.97092,177.842,11.3844,2.78006,4.09504,1.16962,0.313963,0.076669,0.2372935637831688,0.215987,1.10781,0.290344,0.743337,,,3.4047,3.18849,3.28987,40.08000183105469,3.51737,-2.75433,1.02224,"14374"
"Sonny Gray","STL",10.0127,8.40106,12.5379,3.62623,28.0516,28.0516,0,0,163.835,684.591,149.269,71.7515,66.0114,16.2778,52.9066,0.693156,7.29487,156.514,8.59784,2.90633,2.95831,0.894193,0.228624,0.077282,0.15134216845035553,0.239063,1.23402,0.294489,0.727055,,,3.73838,3.1407,3.4608,120.76000213623047,2.63161,0.719357,0.749309,"12768"
"Kodai Senga","NYM",11.5893,8.56154,13.2777,3.68378,28.1809,28.1809,0,0,170.276,715.64,141.064,75.7561,69.6956,20.0945,74.3925,0.904125,6.38222,196.513,10.3867,3.93204,2.64156,1.0621,0.274597,0.103952,0.1706446036696434,0.222195,1.26533,0.289222,0.745768,,,3.90414,3.12537,3.44303,68.13999938964844,3.18708,-0.856803,1.17672,"31838"
"Logan Gilbert","SEA",11.9409,8.50656,14.1521,3.79086,30.5637,30.5637,0,0,183.84,748.542,168.298,84.1679,77.4344,25.7465,41.4436,1.79292,5.6656,183.523,8.98448,2.0289,4.42825,1.26044,0.245173,0.0553658,0.18980761617422104,0.239934,1.14089,0.289642,0.722948,,,3.84787,3.07284,3.0477,63.86000061035156,3.16446,-0.280291,1.03665,"22250"
"Mitch Keller","PIT",10.3304,10.0975,13.2405,4.16557,30.015,30.015,0,0,180.762,770.301,175.46,90.9393,83.6641,21.1254,60.3291,1.13484,10.3019,174.19,8.6728,3.00374,2.88733,1.05182,0.226133,0.0783189,0.14781373739242554,0.250776,1.30442,0.306005,0.702427,,,4.01927,2.97946,2.82883,168.50999450683594,1.94251,-0.82636,1.34459,"17594"
"Jordan Montgomery",,10.2892,8.42798,12.673,3.83744,28.15,28.15,0,0.0129328,167.542,698,161.642,77.6491,71.4371,20.561,45.0935,0.551335,5.39127,152.3,8.18122,2.42232,3.37743,1.10449,0.218195,0.0646038,0.153591088950634,0.249635,1.23393,0.29723,0.725408,,,3.93635,2.97082,3.09582,144.80999755859375,2.84515,0.10389,0.682126,"16511"
"Shane Bieber","CLE",10.4253,8.2992,14.0154,3.77926,26.9625,26.9625,0,0,169.401,698.137,160.185,77.32,71.1344,20.6898,43.1596,0.493607,5.06543,160.227,8.5126,2.29301,3.71242,1.09922,0.229506,0.0618211,0.16768480837345123,0.246472,1.20038,0.297434,0.722706,,,3.80515,2.94692,3.00052,177.16000366210938,3.44599,0.473996,0.678091,"19427"
"Blake Snell",,11.0834,8.09411,13.1463,3.46777,28.4972,27.5704,0,0.221398,151.383,635.278,119.007,63.4013,58.3292,16.7221,73.27,0.65778,3.98897,192.152,11.4238,4.35603,2.62252,0.994159,0.30247,0.115335,0.18713407963514328,0.213266,1.27013,0.292958,0.763183,,,3.68349,2.93325,3.53701,64.41000366210938,4.50039,-0.643886,1.20614,"13543"
"Bobby Miller","LAD",12.1476,6.94739,10.6119,3.82087,26.5845,26.5845,0,0,153.098,628.206,134.711,70.6484,64.9965,17.9642,42.2446,1.48939,7.26466,150.524,8.84865,2.48338,3.56315,1.05604,0.239609,0.0672464,0.1723625734448433,0.232784,1.15583,0.284604,0.700285,,,3.78421,2.85441,2.82188,999,3.53092,0.0541214,0.909556,"27483"
"Dylan Cease","CHW",9.6761,9.40068,12.4652,4.02641,30.2964,30.2964,0,0,173.585,736.507,151.72,84.4113,77.6584,22.6643,73.9275,1.91017,7.46165,201.091,10.4261,3.83297,2.72011,1.17509,0.273033,0.100376,0.17265698313713074,0.231592,1.29992,0.299181,0.728332,,,4.0421,2.80271,2.87149,106.51000213623047,2.70266,-0.0869469,1.34214,"18525"
"Cole Ragans","KCR",9.63093,9.37617,10.9184,3.88306,27.349,27.349,0,0.0145635,159.328,671.342,139.06,74.7197,68.7422,17.6975,64.909,2.38557,4.89705,171.182,9.66962,3.66654,2.63726,0.999686,0.254985,0.0966854,0.15829935669898987,0.231175,1.28018,0.2941,0.721287,,,3.86461,2.78246,2.80637,109.94999694824219,3.16869,0.64589,0.929094,"21846"
"Tanner Bibee","CLE",10.6874,7.51879,11.7973,3.74093,27.9188,27.9188,0,0,164.379,682.72,149.218,74.2669,68.3256,21.1491,49.4488,1.0202,6.36689,168.106,9.20403,2.7074,3.39959,1.15794,0.246229,0.0724291,0.17379994690418243,0.238023,1.20859,0.292629,0.735841,,,3.90095,2.77739,2.98807,108.22000122070312,5.57874,0.800036,0.733755,"30134"
