Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",151.703,680.006,584.164,183.454,110.176,34.0251,2.55125,36.7016,126.677,95.7049,79.971,4.15125,106.386,10.368,4.19324,1.31021,10.1925,53.8104,12.3874,0.314045,0.117603,0.156449,0.751703,0.40341,0.569508,0.41124,0.972918,0.255463,6.57132,0.329581,1.17785,4.02062,135.3,52.4455,159.41,5.19846,0.455192,55.24709463119507,-6.761197596788406,7.14438,1,5.26788,-0.567418,1.20739,"18401"
"Aaron Judge","NYY",142.643,621.711,513.525,142.119,73.6447,22.4415,0.450038,45.5828,105.278,110.206,99.6468,9.6383,167.802,3.90482,4.2666,0.366882,8.85634,6.93992,2.37262,0.276752,0.160278,0.269903,0.593837,0.395386,0.588499,0.409407,0.983885,0.311747,3.38759,0.317128,0.0995991,-0.9045,122.755,47.0031,162.222,-0.804901,-0.509437,46.33258801698685,-3.6474327445030212,6.36538,11.050000190734863,2.67036,-0.03675,1.49979,"15640"
"Mookie Betts","LAD",148.893,661.447,566.452,160.214,89.3802,35.237,2.17548,33.4218,114.074,93.8137,80.683,2.12197,103.934,8.28007,4.75166,1.27999,7.33523,12.889,3.19059,0.282839,0.12198,0.157132,0.776288,0.377446,0.529732,0.385663,0.907179,0.246893,5.05583,0.292252,0.798173,-0.12668,117.557,36.9638,146.039,0.671493,0.615236,37.77826601266861,0.44941987097263336,6.05568,5.239999771118164,2.15697,-0.00568178,0.911303,"13611"
"Juan Soto","NYY",152.92,665.45,529.724,148.386,83.0852,27.0168,1.61687,36.667,104.646,100.296,127.415,8.63073,110.178,3.623,3.69401,0.993613,14.9041,10.4933,3.58753,0.280119,0.191472,0.16557,1.15644,0.42053,0.544882,0.409014,0.965412,0.264763,3.98879,0.288998,-1.03623,-0.998904,131.174,50.0925,161.954,-2.03513,-1.05812,48.20120930671692,-10.181328296661377,6.04854,11,2.74408,-0.0929382,0.942641,"20123"
"Yordan Alvarez","HOU",138.778,598.204,504.774,149.583,77.9101,30.646,1.7559,39.2709,95.635,107.66,78.482,5.60757,116.337,9.8239,5.02254,0.101312,9.95133,0.708828,0.300502,0.296337,0.131196,0.194477,0.674609,0.397739,0.597403,0.415494,0.995142,0.301067,2.59361,0.31145,-0.316959,-1.22258,121.138,48.25,169.888,-1.53954,-0.677378,48.55447614192963,-13.207184314727783,5.55145,16.56999969482422,2.53787,-0.528062,1.50863,"19556"
"Julio Rodríguez","SEA",150.479,662.431,598.33,167.99,100.298,33.2665,2.87526,31.55,99.6292,91.6628,50.7364,4.97346,155.221,9.58167,2.69607,1.08719,10.0067,31.9515,8.23394,0.280764,0.0765912,0.23432,0.326865,0.345218,0.504164,0.360216,0.849382,0.2234,6.17035,0.329362,0.4821,1.7157,103.732,23.0191,135.002,2.1978,-0.0095277,29.980099201202393,2.1191639779135585,5.44517,2.680000066757202,2.36645,-1.59516,0.383379,"23697"
"Corey Seager","TEX",134.426,589.28,521.628,153.535,88.18,32.997,1.23612,31.1221,89.7531,91.9589,56.1605,5.93798,95.1674,5.64047,4.9932,0.85779,10.5533,2.63857,0.714825,0.294339,0.0953036,0.161498,0.590123,0.365955,0.541326,0.381501,0.907281,0.246987,3.20158,0.305779,-0.522307,-0.883866,102.694,30.8942,143.057,-1.40617,-1.64586,28.99546444416046,2.578080177307129,5.14491,21.219999313354492,3.36136,1.27237,1.11732,"13624"
"José Ramírez","CLE",151.143,655.809,575.534,160.163,92.7566,36.5909,4.16998,26.6458,90.6325,94.8434,69.2578,10,75.8545,4.52448,6.03641,0.455773,7.27283,24.2815,6.67371,0.278286,0.105607,0.115666,0.913035,0.356977,0.495247,0.35924,0.852223,0.216961,5.72776,0.278701,1.01559,0.833327,102.164,22.2576,132.152,1.84891,1.58648,27.11376404762268,1.758343130350113,5.10093,15.1899995803833,3.63741,-1.98208,0.332648,"13510"
"Freddie Freeman","LAD",153.467,678.047,588.012,180.825,113.57,39.2013,2.29094,25.7623,109.664,96.5488,75.4967,9.01945,108.177,9.27909,4.65109,0.608339,10.6823,14.8802,3.49208,0.307519,0.111344,0.159542,0.697899,0.392066,0.513417,0.384803,0.905483,0.205897,4.98845,0.338031,0.00990557,0.0433266,120.023,37.4072,145.453,0.0532322,0.555794,37.607038505375385,-11.285796225070953,4.92471,8.319999694824219,3.74073,0.452431,1.18352,"5361"
"Adley Rutschman","BAL",142.337,602.697,516.214,139.586,89.0477,30.5189,1.36827,18.6513,78.4643,69.3547,76.5538,2.88015,94.9818,4.79882,4.09399,1.03671,11.1184,2.27336,1.00327,0.270404,0.127019,0.157595,0.805984,0.367215,0.443219,0.352092,0.810434,0.172815,2.83471,0.297375,0.636298,-1.25955,90.3119,16.8768,127.389,-0.623252,3.76499,19.155924916267395,9.590652704238892,4.90847,53.40999984741211,3.24325,-1.867,0.588694,"26288"
