,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
0,Jose Urena,TEX,SP,MIN at DET,3.5,4.5,0.5708154506437768,0.6428571428571429,(-133),(-180),2021-04-05
1,Michael Foltynewicz,FA,SP,TOR at TEX,4.5,5.5,0.5348837209302325,0.6212121212121212,(-115),(-164),2021-04-05
2,Steven Matz,STL,"SP,RP",TOR at TEX,5.5,5.5,0.44642857142857145,0.5815899581589958,(+124),(-139),2021-04-05
3,Danny Duffy,TEX,"SP,RP",KC at CLE,4.5,4.5,0.4424778761061947,0.6,(+126),(-150),2021-04-05
4,Logan Allen,ARI,"RP,SP",KC at CLE,3.5,3.5,0.5412844036697247,0.5260663507109005,(-118),(-111),2021-04-05
5,Jorge Lopez,NYM,RP,BAL at NYY,3.5,3.5,0.504950495049505,0.5238095238095238,(-102),(-110),2021-04-05
6,Jordan Montgomery,FA,SP,BAL at NYY,4.5,5.5,0.6254681647940075,0.588477366255144,(-167),(-143),2021-04-05
7,Jonathan Brubaker,PIT,SP,PIT at CIN,4.5,5.5,0.5370370370370371,0.5412844036697247,(-116),(-118),2021-04-05
8,Trevor Rogers,MIA,SP,STL at MIA,5.5,6.5,0.5283018867924528,0.5708154506437768,(-112),(-133),2021-04-05
9,Jacob Degrom,TEX,SP,NYM at PHI,8.5,9.5,0.5555555555555556,0.6062992125984252,(-125),(-154),2021-04-05
10,Matt Moore,LAA,RP,NYM at PHI,4.5,4.5,0.5370370370370371,0.46511627906976744,(-116),(+115),2021-04-05
11,Nick Pivetta,BOS,"SP,RP",TB at BOS,4.5,5.5,0.6254681647940075,0.5983935742971888,(-167),(-149),2021-04-05
12,Michael Wacha,KC,SP,TB at BOS,3.5,4.5,0.5708154506437768,0.6428571428571429,(-133),(-180),2021-04-05
13,Brett Anderson,FA,SP,MIL at CHC,3.5,3.5,0.5145631067961165,0.4878048780487805,(-106),(+105),2021-04-05
14,Trevor Williams,WSH,SP,MIL at CHC,4.5,4.5,0.5305164319248826,0.5238095238095238,(-113),(-110),2021-04-05
15,Jose Quintana,NYM,SP,HOU at LAA,3.5,3.5,0.5555555555555556,0.45871559633027525,(-125),(+118),2021-04-05
16,Dustin May,LAD,SP,LAD at OAK,4.5,4.5,0.47619047619047616,0.5475113122171946,(+110),(-121),2021-04-05
17,Frankie Montas,CIN,"SP,RP",LAD at OAK,5.5,5.5,0.4444444444444444,0.5614035087719298,(+125),(-128),2021-04-05
18,Justus Sheffield,FA,"RP,SP",CWS at SEA,4.5,4.5,0.5098039215686274,0.5454545454545454,(-104),(-120),2021-04-05
19,Carlos Rodon,NYY,SP,CWS at SEA,5.5,6.5,0.6062992125984252,0.6212121212121212,(-154),(-164),2021-04-05
20,Anthony Desclafani,MIN,SP,SF at SD,4.5,4.5,0.45454545454545453,0.5934959349593496,(+120),(-146),2021-04-05
21,Casey Mize,DET,SP,MIN at DET,4.5,4.5,0.504950495049505,0.5475113122171946,(-102),(-121),2021-04-06
22,Ja Happ,FA,SP,MIN at DET,4.5,5.5,0.5,0.6,(EVEN),(-150),2021-04-06
23,Max Scherzer,TEX,SP,ATL at WSH,8.5,9.5,0.5348837209302325,0.5867768595041323,(-115),(-142),2021-04-06
24,Drew Smyly,CHC,"SP,RP",ATL at WSH,5.5,6.5,0.5983935742971888,0.5850622406639004,(-149),(-141),2021-04-06
25,Dylan Bundy,FA,SP,HOU at LAA,5.5,5.5,0.49019607843137253,0.5555555555555556,(+104),(-125),2021-04-06
26,Zack Greinke,FA,SP,HOU at LAA,4.5,4.5,0.4854368932038835,0.5555555555555556,(+106),(-125),2021-04-06
