,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
0,Patrick Corbin,WSH,SP,ATL at WSH,3.5,4.5,0.6254681647940075,0.6124031007751938,(-167),(-158),2023-03-30
1,Max Fried,ATL,SP,ATL at WSH,5.5,5.5,0.46511627906976744,0.576271186440678,(+115),(-136),2023-03-30
2,Gerrit Cole,NYY,SP,SF at NYY,7.5,7.5,0.5238095238095238,0.5,(-110),(EVEN),2023-03-30
3,Logan Webb,SF,SP,SF at NYY,4.5,5.5,0.576271186440678,0.5833333333333334,(-136),(-140),2023-03-30
4,Corey Kluber,FA,"RP,SP",BAL at BOS,4.5,4.5,0.45871559633027525,0.574468085106383,(+118),(-135),2023-03-30
5,Kyle Gibson,STL,SP,BAL at BOS,3.5,3.5,0.574468085106383,0.45454545454545453,(-135),(+120),2023-03-30
6,Corbin Burnes,BAL,SP,MIL at CHC,6.5,6.5,0.5495495495495496,0.47619047619047616,(-122),(+110),2023-03-30
7,Marcus Stroman,NYY,SP,MIL at CHC,4.5,5.5,0.588477366255144,0.6212121212121212,(-143),(-164),2023-03-30
8,Shane Mcclanahan,TB,SP,DET at TB,5.5,6.5,0.6610169491525424,0.5348837209302325,(-195),(-115),2023-03-30
9,Eduardo Rodriguez,ARI,SP,DET at TB,3.5,4.5,0.6,0.6240601503759399,(-150),(-166),2023-03-30
10,Jacob Degrom,TEX,SP,PHI at TEX,7.5,7.5,0.5495495495495496,0.49019607843137253,(-122),(+104),2023-03-30
11,Aaron Nola,PHI,SP,PHI at TEX,5.5,6.5,0.5833333333333334,0.6078431372549019,(-140),(-155),2023-03-30
12,Zack Greinke,FA,SP,MIN at KC,3.5,3.5,0.45871559633027525,0.5833333333333334,(+118),(-140),2023-03-30
13,Pablo Lopez,MIN,SP,MIN at KC,4.5,4.5,0.49019607843137253,0.5454545454545454,(+104),(-120),2023-03-30
14,Sandy Alcantara,MIA,SP,NYM at MIA,4.5,4.5,0.5454545454545454,0.5,(-120),(EVEN),2023-03-30
15,Max Scherzer,TEX,SP,NYM at MIA,5.5,6.5,0.6078431372549019,0.5689655172413793,(-155),(-132),2023-03-30
16,Mitch Keller,PIT,SP,PIT at CIN,5.5,5.5,0.44642857142857145,0.5815899581589958,(+124),(-139),2023-03-30
17,Hunter Greene,CIN,SP,PIT at CIN,7.5,7.5,0.45871559633027525,0.5850622406639004,(+118),(-141),2023-03-30
18,Miles Mikolas,STL,SP,TOR at STL,4.5,4.5,0.43478260869565216,0.6124031007751938,(+130),(-158),2023-03-30
19,Alek Manoah P,TOR,SP,TOR at STL,5.5,5.5,0.4716981132075472,0.5798319327731093,(+112),(-138),2023-03-30
20,Dylan Cease,CWS,SP,CWS at HOU,6.5,6.5,0.45045045045045046,0.6062992125984252,(+122),(-154),2023-03-30
21,Framber Valdez,HOU,SP,CWS at HOU,5.5,5.5,0.5283018867924528,0.4878048780487805,(-112),(+105),2023-03-30
22,Blake Snell,FA,SP,COL at SD,6.5,6.5,0.5348837209302325,0.47619047619047616,(-115),(+110),2023-03-30
23,German Marquez,COL,SP,COL at SD,4.5,4.5,0.5,0.5454545454545454,(EVEN),(-120),2023-03-30
24,Kyle Muller,OAK,"SP,RP",LAA at OAK,4.5,4.5,0.5283018867924528,0.5,(-112),(EVEN),2023-03-30
25,Shohei Ohtani,LAD,"DH,SP",LAA at OAK,6.5,7.5,0.5652173913043478,0.5726495726495726,(-130),(-134),2023-03-30
26,Luis Castillo,SEA,SP,CLE at SEA,5.5,5.5,0.47619047619047616,0.5283018867924528,(+110),(-112),2023-03-30
27,Shane Bieber,CLE,SP,CLE at SEA,6.5,6.5,0.5121951219512195,0.5,(-105),(EVEN),2023-03-30
28,Zac Gallen,ARI,SP,ARI at LAD,4.5,5.5,0.5967741935483871,0.5238095238095238,(-148),(-110),2023-03-30
29,Julio Urias,FA,SP,ARI at LAD,5.5,5.5,0.5348837209302325,0.5121951219512195,(-115),(-105),2023-03-30
30,Jesus Luzardo,MIA,SP,NYM at MIA,5.5,5.5,0.46511627906976744,0.5652173913043478,(+115),(-130),2023-03-31
31,David Peterson,NYM,"SP,RP",NYM at MIA,4.5,5.5,0.6153846153846154,0.5575221238938053,(-160),(-126),2023-03-31
32,Cristian Javier,HOU,SP,CWS at HOU,5.5,6.5,0.5901639344262295,0.6078431372549019,(-144),(-155),2023-03-31
33,Lance Lynn,STL,SP,CWS at HOU,5.5,5.5,0.5327102803738317,0.5,(-114),(EVEN),2023-03-31
34,Nick Martinez,CIN,"SP,RP",COL at SD,4.5,4.5,0.4672897196261682,0.5726495726495726,(+114),(-134),2023-03-31
35,Kyle Freeland,COL,SP,COL at SD,3.5,3.5,0.5098039215686274,0.5327102803738317,(-104),(-114),2023-03-31
36,Merrill Kelly,ARI,SP,ARI at LAD,4.5,4.5,0.42016806722689076,0.5918367346938775,(+138),(-145),2023-03-31
37,Dustin May,LAD,SP,ARI at LAD,5.5,5.5,0.5283018867924528,0.5121951219512195,(-112),(-105),2023-03-31
38,Robbie Ray,SF,SP,CLE at SEA,5.5,5.5,0.5121951219512195,0.5238095238095238,(-105),(-110),2023-03-31
39,Hunter Gaddis,CLE,SP,CLE at SEA,3.5,3.5,0.6031746031746031,0.4444444444444444,(-152),(+125),2023-03-31
40,Jose Urquidy,HOU,"SP,RP",CWS at HOU,4.5,4.5,0.5121951219512195,0.5098039215686274,(-105),(-104),2023-04-01
41,Lucas Giolito,BOS,SP,CWS at HOU,4.5,5.5,0.6363636363636364,0.5967741935483871,(-175),(-148),2023-04-01
42,Jack Flaherty,DET,SP,TOR at STL,4.5,5.5,0.6212121212121212,0.6,(-164),(-150),2023-04-01
43,Kevin Gausman,TOR,SP,TOR at STL,5.5,6.5,0.6153846153846154,0.6124031007751938,(-160),(-158),2023-04-01
44,Justin Steele,CHC,SP,MIL at CHC,6.5,6.5,0.49019607843137253,0.5348837209302325,(+104),(-115),2023-04-01
45,Brandon Woodruff,FA,SP,MIL at CHC,6.5,6.5,0.47619047619047616,0.5594713656387665,(+110),(-127),2023-04-01
46,Spencer Strider,ATL,SP,ATL at WSH,6.5,6.5,0.5652173913043478,0.4672897196261682,(-130),(+114),2023-04-01
47,Josiah Gray,WSH,SP,ATL at WSH,4.5,4.5,0.5495495495495496,0.47619047619047616,(-122),(+110),2023-04-01
48,Nathan Eovaldi,TEX,SP,PHI at TEX,5.5,5.5,0.5238095238095238,0.5215311004784688,(-110),(-109),2023-04-01
49,Zack Wheeler,PHI,SP,PHI at TEX,6.5,6.5,0.46511627906976744,0.5726495726495726,(+115),(-134),2023-04-01
50,Alex Cobb,SF,SP,SF at NYY,4.5,4.5,0.5348837209302325,0.5192307692307693,(-115),(-108),2023-04-01
51,Clarke Schmidt,NYY,SP,SF at NYY,4.5,4.5,0.5238095238095238,0.5121951219512195,(-110),(-105),2023-04-01
52,Shintaro Fujinami,NYM,"SP,RP",LAA at OAK,4.5,4.5,0.5192307692307693,0.5412844036697247,(-108),(-118),2023-04-01
53,Patrick Sandoval,LAA,SP,LAA at OAK,5.5,5.5,0.5,0.5098039215686274,(EVEN),(-104),2023-04-01
54,Dean Kremer,BAL,SP,BAL at BOS,3.5,3.5,0.47619047619047616,0.5726495726495726,(+110),(-134),2023-04-01
55,Chris Sale,ATL,SP,BAL at BOS,5.5,5.5,0.5454545454545454,0.46296296296296297,(-120),(+116),2023-04-01
56,Edward Cabrera P,MIA,SP,NYM at MIA,4.5,4.5,0.44642857142857145,0.588477366255144,(+124),(-143),2023-04-01
57,Tylor Megill,NYM,SP,NYM at MIA,4.5,5.5,0.5652173913043478,0.6124031007751938,(-130),(-158),2023-04-01
58,Jordan Lyles,KC,SP,MIN at KC,4.5,4.5,0.5454545454545454,0.4878048780487805,(-120),(+105),2023-04-01
59,Sonny Gray,STL,SP,MIN at KC,4.5,4.5,0.5633187772925764,0.47619047619047616,(-129),(+110),2023-04-01
60,Rich Hill,FA,"RP,SP",PIT at CIN,4.5,4.5,0.5,0.5412844036697247,(EVEN),(-118),2023-04-01
61,Nick Lodolo,CIN,SP,PIT at CIN,6.5,7.5,0.5918367346938775,0.588477366255144,(-145),(-143),2023-04-01
62,Zach Eflin,TB,SP,DET at TB,4.5,5.5,0.6491228070175439,0.5495495495495496,(-185),(-122),2023-04-01
63,Spencer Turnbull,FA,SP,DET at TB,4.5,4.5,0.5238095238095238,0.5,(-110),(EVEN),2023-04-01
64,Michael Wacha,KC,SP,COL at SD,4.5,4.5,0.5454545454545454,0.47619047619047616,(-120),(+110),2023-04-01
65,Jose Urena,TEX,SP,COL at SD,2.5,3.5,0.5726495726495726,0.5815899581589958,(-134),(-139),2023-04-01
66,Clayton Kershaw,LAD,SP,ARI at LAD,6.5,6.5,0.4444444444444444,0.6,(+125),(-150),2023-04-01
67,Madison Bumgarner,FA,SP,ARI at LAD,4.5,4.5,0.45454545454545453,0.574468085106383,(+120),(-135),2023-04-01
68,Aaron Civale,TB,SP,CLE at SEA,4.5,4.5,0.5454545454545454,0.49504950495049505,(-120),(+102),2023-04-01
69,Logan Gilbert,SEA,SP,CLE at SEA,4.5,4.5,0.5,0.5215311004784688,(EVEN),(-109),2023-04-01
70,Jeffrey Springs,TB,SP,DET at TB,5.5,6.5,0.5833333333333334,0.5726495726495726,(-140),(-134),2023-04-02
71,Joey Wentz,DET,"SP,RP",DET at TB,3.5,3.5,0.5614035087719298,0.46511627906976744,(-128),(+115),2023-04-02
72,Cole Irvin,BAL,"SP,RP",BAL at BOS,3.5,3.5,0.5850622406639004,0.45454545454545453,(-141),(+120),2023-04-02
73,Tanner Houck,BOS,SP,BAL at BOS,3.5,4.5,0.5833333333333334,0.5867768595041323,(-140),(-142),2023-04-02
74,Jared Shuster,CWS,SP,ATL at WSH,4.5,4.5,0.4878048780487805,0.5614035087719298,(+105),(-128),2023-04-02
75,Mackenzie Gore,WSH,SP,ATL at WSH,4.5,5.5,0.6,0.5867768595041323,(-150),(-142),2023-04-02
76,Jhony Brito,SD,"SP,RP",SF at NYY,4.5,4.5,0.49019607843137253,0.5348837209302325,(+104),(-115),2023-04-02
77,Ross Stripling,OAK,"SP,RP",SF at NYY,3.5,4.5,0.6124031007751938,0.5833333333333334,(-158),(-140),2023-04-02
78,Kodai Senga,NYM,SP,NYM at MIA,4.5,4.5,0.5121951219512195,0.5121951219512195,(-105),(-105),2023-04-02
79,Trevor Rogers,MIA,SP,NYM at MIA,4.5,4.5,0.5348837209302325,0.5238095238095238,(-115),(-110),2023-04-02
80,Graham Ashcraft,CIN,SP,PIT at CIN,4.5,4.5,0.5454545454545454,0.5,(-120),(EVEN),2023-04-02
81,Vincent Velasquez,FA,"SP,RP",PIT at CIN,4.5,4.5,0.504950495049505,0.5238095238095238,(-102),(-110),2023-04-02
82,Brad Keller,FA,"SP,RP",MIN at KC,3.5,4.5,0.6226415094339622,0.6138996138996139,(-165),(-159),2023-04-02
83,Joe Ryan,MIN,SP,MIN at KC,4.5,5.5,0.588477366255144,0.6,(-143),(-150),2023-04-02
84,Michael Clevinger,FA,SP,CWS at HOU,4.5,4.5,0.4444444444444444,0.5967741935483871,(+125),(-148),2023-04-02
85,Luis Garcia P,HOU,SP,CWS at HOU,4.5,5.5,0.6153846153846154,0.5454545454545454,(-160),(-120),2023-04-02
86,Jordan Montgomery,FA,SP,TOR at STL,4.5,4.5,0.46511627906976744,0.5780590717299579,(+115),(-137),2023-04-02
87,Chris Bassitt,TOR,SP,TOR at STL,4.5,4.5,0.43478260869565216,0.5412844036697247,(+130),(-118),2023-04-02
88,Eric Lauer,FA,SP,MIL at CHC,5.5,5.5,0.4424778761061947,0.576271186440678,(+126),(-136),2023-04-02
89,Jameson Taillon,CHC,SP,MIL at CHC,4.5,5.5,0.6078431372549019,0.6108949416342413,(-155),(-157),2023-04-02
90,Tyler Anderson,LAA,SP,LAA at OAK,4.5,4.5,0.5283018867924528,0.4878048780487805,(-112),(+105),2023-04-02
91,Ken Waldichuk,OAK,"SP,RP",LAA at OAK,4.5,4.5,0.5,0.5238095238095238,(EVEN),(-110),2023-04-02
92,Seth Lugo,KC,SP,COL at SD,4.5,4.5,0.5238095238095238,0.5238095238095238,(-110),(-110),2023-04-02
93,Austin Gomber,COL,SP,COL at SD,3.5,3.5,0.5,0.5145631067961165,(EVEN),(-106),2023-04-02
94,Marco Gonzales,PIT,SP,CLE at SEA,3.5,3.5,0.45454545454545453,0.5652173913043478,(+120),(-130),2023-04-02
95,Cal Quantrill,COL,SP,CLE at SEA,4.5,4.5,0.504950495049505,0.5535714285714286,(-102),(-124),2023-04-02
96,Noah Syndergaard,FA,SP,ARI at LAD,3.5,3.5,0.5238095238095238,0.49019607843137253,(-110),(+104),2023-04-02
97,Zach Davies,FA,SP,ARI at LAD,3.5,3.5,0.4716981132075472,0.5454545454545454,(+112),(-120),2023-04-02
98,Bailey Falter,PIT,SP,PHI at TEX,4.5,4.5,0.504950495049505,0.5,(-102),(EVEN),2023-04-02
99,Martin Perez,PIT,"SP,RP",PHI at TEX,4.5,4.5,0.504950495049505,0.5238095238095238,(-102),(-110),2023-04-02
100,Carlos Carrasco,CLE,SP,NYM at MIL,4.5,4.5,0.5833333333333334,0.46511627906976744,(-140),(+115),2023-04-03
101,Freddy Peralta,MIL,SP,NYM at MIL,4.5,4.5,0.45454545454545453,0.5348837209302325,(+120),(-115),2023-04-03
102,Michael Kopech,CWS,SP,SF at CWS,5.5,5.5,0.5283018867924528,0.5121951219512195,(-112),(-105),2023-04-03
103,Anthony Desclafani,MIN,SP,SF at CWS,3.5,3.5,0.4854368932038835,0.5652173913043478,(+106),(-130),2023-04-03
104,Johnny Cueto,FA,SP,MIN at MIA,3.5,3.5,0.6138996138996139,0.4166666666666667,(-159),(+140),2023-04-03
105,Tyler Mahle,TEX,SP,MIN at MIA,4.5,4.5,0.5575221238938053,0.45871559633027525,(-126),(+118),2023-04-03
106,Drew Smyly,CHC,"SP,RP",CHC at CIN,5.5,5.5,0.4,0.6153846153846154,(+150),(-160),2023-04-03
107,Connor Overton,CIN,SP,CHC at CIN,3.5,3.5,0.5454545454545454,0.4807692307692308,(-120),(+108),2023-04-03
108,Taijuan Walker,PHI,SP,PHI at NYY,4.5,4.5,0.5,0.5454545454545454,(EVEN),(-120),2023-04-03
109,Nestor Cortes,NYY,SP,PHI at NYY,5.5,6.5,0.6078431372549019,0.6124031007751938,(-155),(-158),2023-04-03
110,Drew Rasmussen,TB,SP,TB at WSH,4.5,4.5,0.4444444444444444,0.5726495726495726,(+125),(-134),2023-04-03
111,Trevor Williams,WSH,SP,TB at WSH,3.5,3.5,0.5348837209302325,0.5121951219512195,(-115),(-105),2023-04-03
112,Johan Oviedo,PIT,SP,PIT at BOS,3.5,4.5,0.6183206106870229,0.6153846153846154,(-162),(-160),2023-04-03
113,Kutter Crawford,BOS,"SP,RP",PIT at BOS,5.5,5.5,0.5121951219512195,0.5412844036697247,(-105),(-118),2023-04-03
114,Jose Berrios,TOR,SP,TOR at KC,4.5,4.5,0.46511627906976744,0.5594713656387665,(+115),(-127),2023-04-03
115,Brady Singer,KC,SP,TOR at KC,4.5,4.5,0.5833333333333334,0.45871559633027525,(-140),(+118),2023-04-03
116,Charlie Morton,ATL,SP,ATL at STL,5.5,5.5,0.5283018867924528,0.5238095238095238,(-112),(-110),2023-04-03
