Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15,7,,3.2317,31,31,0,0,180,733,136,70,65,21,58,,9,256,12.7659,2.87587,4.43896,1.04135,0.348789,0.0785746,0.2702148109674454,0.203352,1.07158,0.294043,0.751222,,,3.02788,4.96495,4.87995,6.829999923706055,,,,"27498"
"Zack Wheeler","PHI",13,9,,3.57683,32,32,0,0,196,810,177,85,78,21,51,,9,197,9.05877,2.33398,3.88125,0.96967,0.24371,0.0627917,0.18091845512390137,0.236248,1.16336,0.293579,0.722352,,,3.55288,4.96106,4.46874,24.899999618530273,,,,"10310"
"Aaron Nola","PHI",13,9,,3.82204,32,32,0,0,196,806,181,90,83,25,42,,7,204,9.33869,1.92057,4.86247,1.14245,0.252815,0.0519932,0.20082218945026398,0.239496,1.1371,0.295944,0.707743,,,3.57238,4.8183,3.93892,50.810001373291016,,,,"16149"
"Kevin Gausman","TOR",13,9,,3.46928,32,32,0,0,192,794,173,80,74,25,48,,4,215,10.059,2.26904,4.43316,1.15857,0.270591,0.0610378,0.2095527946949005,0.23324,1.15153,0.295307,0.756765,,,3.5161,4.30501,4.20847,27.329999923706055,,,,"14107"
"Logan Webb","SFG",13,10,,3.42911,32,32,0,0,202,839,197,85,77,17,44,,8,178,7.9377,1.9544,4.06146,0.769151,0.212763,0.0523858,0.16037697717547417,0.250499,1.19154,0.304182,0.721884,,,3.36875,4.1784,4.22996,60.33000183105469,,,,"17995"
"Pablo López","MIN",12,9,,3.59745,32,32,0,0,192,792,169,83,77,22,51,,9,211,9.89349,2.4083,4.10808,1.03971,0.266081,0.0647701,0.2013104185461998,0.231195,1.14963,0.294776,0.724417,,,3.507,4.05327,3.91889,34.66999816894531,,,,"17085"
"Luis Castillo","SEA",13,10,,3.45,32,32,0,0,194,800,167,80,74,22,58,,7,205,9.50932,2.69341,3.53058,1.02176,0.255999,0.0725089,0.18348979204893112,0.227517,1.16197,0.285759,0.744572,,,3.6243,3.7841,4.06056,29.520000457763672,,,,"15689"
"Yoshinobu Yamamoto","LAD",14,8,,3.74425,29,29,0,0,188,761,158,84,78,26,45,,6,193,9.26702,2.14083,4.32869,1.24881,0.254245,0.0587349,0.19551051408052444,0.222709,1.07954,0.269233,0.714838,,,3.81159,3.75828,3.6509,44.400001525878906,,,,"sa3023345"
"Corbin Burnes","BAL",12,9,,3.52049,32,32,0,0,196,814,168,83,77,21,61,,9,212,9.71443,2.80208,3.46687,0.981378,0.260504,0.0751412,0.18536324799060822,0.226372,1.16847,0.287953,0.733494,,,3.58504,3.74467,4.06322,24.3799991607666,,,,"19361"
"Framber Valdez","HOU",14,8,,3.36596,31,31,0,0,196,818,176,81,73,17,65,,11,188,8.61904,2.96917,2.90285,0.773729,0.229885,0.0791928,0.150691919028759,0.23679,1.22523,0.295661,0.737521,,,3.61168,3.72511,4.51816,59.36000061035156,,,,"17295"
"George Kirby","SEA",13,10,,3.5468,32,32,0,0,191,784,182,81,75,23,32,,7,177,8.36856,1.49595,5.59414,1.10024,0.226289,0.0404511,0.18583792820572853,0.244678,1.12157,0.292066,0.731738,,,3.59821,3.71698,3.75376,34.900001525878906,,,,"25436"
"Tarik Skubal","DET",10,9,,3.47934,29,29,0,0,158,646,138,66,61,17,41,,5,174,9.92408,2.35606,4.21216,0.994501,0.269126,0.0638926,0.2052333503961563,0.230374,1.13766,0.295648,0.732615,,,3.37196,3.6873,3.59063,49.810001373291016,,,,"22267"
"Gerrit Cole","NYY",13,9,,3.62955,32,32,0,0,202,828,176,88,81,29,54,,5,222,9.91185,2.40451,4.12219,1.28613,0.268425,0.0651171,0.20330790430307388,0.228375,1.13696,0.283454,0.748804,,,3.7929,3.66881,3.89329,12.520000457763672,,,,"13125"
"Zach Eflin","TBR",13,9,,3.50912,31,31,0,0,178,730,168,75,69,21,32,,6,173,8.73054,1.5979,5.46377,1.06283,0.236881,0.043355,0.19352641701698303,0.24269,1.12069,0.294866,0.731917,,,3.47691,3.64868,3.57391,82.87999725341797,,,,"13774"
"Max Fried","ATL",14,7,,3.42865,31,31,0,0,179,744,170,74,68,17,47,,6,167,8.41291,2.34809,3.58288,0.877322,0.22473,0.0627232,0.16200634092092514,0.246088,1.21183,0.301366,0.740159,,,3.53873,3.63217,4.36685,61.7400016784668,,,,"13743"
"Shane Bieber","CLE",11,9,,3.71874,31,31,0,0,191,798,182,86,79,23,49,,6,187,8.82467,2.32144,3.80138,1.09952,0.234611,0.0617173,0.17289333045482635,0.244795,1.21051,0.297782,0.732459,,,3.74628,3.37552,3.41282,179.2899932861328,,,,"19427"
"Zac Gallen","ARI",13,10,,3.7005,32,32,0,0,197,817,180,87,81,24,56,,8,194,8.87528,2.56848,3.45546,1.10449,0.237331,0.0686831,0.16864842921495438,0.239031,1.20089,0.291336,0.734876,,,3.85334,3.329,4.2514,39.86000061035156,,,,"19291"
"Tyler Glasnow","LAD",12,6,,3.52641,26,26,0,0,147,599,122,62,57,20,46,,2,183,11.1948,2.79557,4.00449,1.22638,0.304783,0.0761104,0.2286730408668518,0.221311,1.14189,0.292513,0.75377,,,3.51391,3.2722,3.25126,39.36000061035156,,,,"14374"
"Blake Snell",,13,9,,3.51723,31,31,0,0,173,734,138,73,68,20,83,,4,219,11.3628,4.29441,2.64594,1.03168,0.297902,0.112588,0.18531398475170135,0.213511,1.27495,0.289551,0.764111,,,3.72477,3.26857,3.95569,64.9000015258789,,,,"13543"
"Kodai Senga","NYM",12,9,,3.69191,31,31,0,0,182,772,152,81,75,21,81,,6,212,10.486,4.01785,2.60985,1.04408,0.274406,0.105142,0.1692638397216797,0.222675,1.28511,0.290781,0.749639,,,3.8715,3.2623,3.26014,66.37999725341797,,,,"31838"
"Jesús Luzardo","MIA",10,10,,3.81199,31,31,0,0,177,744,157,81,75,23,61,,7,201,10.2097,3.12094,3.27134,1.16398,0.269829,0.0824829,0.18734636902809143,0.23217,1.23301,0.296424,0.738193,,,3.82839,3.20637,3.47124,80.69000244140625,,,,"19959"
"Justin Steele","CHC",11,10,,3.6647,31,31,0,0,177,741,168,78,72,20,53,,8,165,8.40658,2.69254,3.12217,1.00007,0.222732,0.0713387,0.15139296650886536,0.246882,1.24992,0.299244,0.737893,,,3.85944,3.16781,3.724,102.16999816894531,,,,"17312"
"Jordan Montgomery",,12,10,,3.89194,32,32,0,0,191,806,186,89,83,25,55,,6,177,8.35538,2.60885,3.2027,1.15967,0.219844,0.0686433,0.15120086073875427,0.2498,1.26497,0.297315,0.734101,,,4.0314,3.1596,3.47609,143.86000061035156,,,,"16511"
