Name Dirty,Name Dirty 2,Name,G,GS,IP,BB,K,W,SV,HD,ERA,WHIP,K/9
"Gerrit Cole
YankeesSP",Gerrit Cole,Gerrit Cole,33,33,207,52,246,15,0,0,3.17,1.04,10.7
"Spencer Strider
BravesSP",Spencer Strider,Spencer Strider,32,32,191,61,288,16,0,0,3.35,1.05,13.57
"Kevin Gausman
Blue JaysSP",Kevin Gausman,Kevin Gausman,31,31,190,49,229,15,0,0,3.22,1.13,10.85
"Corbin Burnes
OriolesSP",Corbin Burnes,Corbin Burnes,31,31,192,62,222,14,0,0,3.33,1.13,10.41
"Zack Wheeler
PhilliesSP",Zack Wheeler,Zack Wheeler,32,32,194,44,211,15,0,0,3.29,1.08,9.79
"Luis Castillo
MarinersSP",Luis Castillo,Luis Castillo,32,32,193,57,218,14,0,0,3.4,1.12,10.17
"Pablo Lopez
TwinsSP",Pablo Lopez,Pablo Lopez,32,32,196,54,219,14,0,0,3.72,1.16,10.06
"Zac Gallen
DiamondbacksSP",Zac Gallen,Zac Gallen,32,32,190,48,198,14,0,0,3.36,1.1,9.38
"Aaron Nola
PhilliesSP",Aaron Nola,Aaron Nola,31,31,191,40,218,13,0,0,3.77,1.09,10.27
"Framber Valdez
AstrosSP",Framber Valdez,Framber Valdez,31,31,200,63,207,16,0,0,3.47,1.17,9.32
"Logan Webb
GiantsSP",Logan Webb,Logan Webb,32,32,205,43,189,15,0,0,3.16,1.12,8.3
"George Kirby
MarinersSP",George Kirby,George Kirby,32,32,194,27,181,14,0,0,3.34,1.07,8.4
"Tyler Glasnow
DodgersSP",Tyler Glasnow,Tyler Glasnow,26,26,158,48,218,13,0,0,3.3,1.06,12.42
"Blake Snell
FASP",Blake Snell,Blake Snell,31,31,179,93,230,12,0,0,3.62,1.26,11.56
"Yoshinobu Yamamoto
DodgersSP",Yoshinobu Yamamoto,Yoshinobu Yamamoto,28,28,170,42,162,14,0,0,3.44,1.12,8.58
"Kodai Senga
MetsSP",Kodai Senga,Kodai Senga,30,30,176,76,215,12,0,0,3.63,1.21,10.99
"Logan Gilbert
MarinersSP",Logan Gilbert,Logan Gilbert,32,32,190,44,193,13,0,0,3.65,1.12,9.14
"Freddy Peralta
BrewersSP",Freddy Peralta,Freddy Peralta,30,30,173,57,215,12,0,0,3.69,1.12,11.18
"Max Fried
BravesSP",Max Fried,Max Fried,27,27,158,37,155,14,0,0,3.13,1.1,8.83
"Tarik Skubal
TigersSP",Tarik Skubal,Tarik Skubal,26,26,153,39,188,11,0,0,3.18,1.04,11.06
"Jesus Luzardo
MarlinsSP",Jesus Luzardo,Jesus Luzardo,30,30,172,53,209,10,0,0,3.66,1.16,10.94
"Joe Ryan
TwinsSP",Joe Ryan,Joe Ryan,30,30,166,39,196,11,0,0,3.8,1.1,10.63
"Dylan Cease
White SoxSP",Dylan Cease,Dylan Cease,32,32,172,79,217,11,0,0,3.92,1.32,11.35
