,Name,Team_actual,W_actual,L_actual,QS,ERA_actual,G_actual,GS_actual,SV_actual,HLD,IP_actual,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9_actual,BB/9_actual,K/BB,HR/9_actual,K%,BB%,K-BB%,AVG,WHIP,BABIP_actual,LOB%_actual,GB%_actual,HR/FB_actual,FIP_actual,WAR_actual,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId_actual,Team_projected,W_projected,L_projected,SV_projected,G_projected,GS_projected,IP_projected,K/9_projected,BB/9_projected,HR/9_projected,BABIP_projected,LOB%_projected,GB%_projected,HR/FB_projected,vFA (pi),ERA_projected,xERA,FIP_projected,xFIP,WAR_projected,NameASCII,PlayerId_projected,MLBAMID,diff,Shortened_Name
0,Zack Wheeler,PHI,13.0,9.0,15.0,3.37673,30.0,29.0,0.0,0.0,181.0,737.0,161.0,74.0,68.0,18.0,43.0,1.0,7.0,183.0,9.07351,2.13889,4.24217,0.890616,0.248005,0.0584619,0.1895432695746421,0.234188,1.12448,0.294015,0.726884,,,3.21738,4.10978,3.96526,54.36000061035156,1.88274,2.23068,0.858657,10310,PHI,13,6,0,32,32,192.0,9.9375,1.828125,0.9375,0.291913214990138,0.7128,0.41221374,0.0990099,95.96198830409357,3.609375,3.21,3.150873215993246,3.5361715966214744,5.944300174713135,Zack Wheeler,10310,554430,0.2326450000000002,Z.Wheeler
1,Spencer Strider,ATL,13.0,7.0,12.0,3.14368,29.0,29.0,0.0,0.0,159.0,639.0,118.0,60.0,55.0,15.0,55.0,1.0,7.0,216.0,12.2483,3.10299,3.94725,0.857291,0.338153,0.0856678,0.2524848058819771,0.203493,1.08505,0.295657,0.741182,,,2.78919,4.27144,4.11938,27.040000915527344,3.70584,-0.305083,1.06957,27498,ATL,20,5,0,32,32,186.2,13.548189552070072,2.796423466263574,1.06071234927239,0.3155216284987277,0.7025,0.34057971,0.121546961,97.37582417582418,3.857135815535964,3.09,2.853254901874916,2.9242737606487665,5.518599987030029,Spencer Strider,27498,675911,0.7134558155359643,S.Strider
2,Kevin Gausman,TOR,13.0,8.0,15.0,3.41101,30.0,30.0,0.0,0.0,177.0,713.0,158.0,73.0,67.0,21.0,38.0,1.0,5.0,197.0,10.0574,1.91987,5.23856,1.08702,0.276952,0.052868,0.2240839228034019,0.235146,1.10539,0.301824,0.740611,,,3.17131,4.0046,3.36396,59.91999816894531,2.65618,-0.613602,0.925021,14107,TOR,12,9,0,31,31,185.0,11.52972972972973,2.675675675675676,0.9243243243243244,0.3207126948775056,0.7665,0.426406926,0.107344632,94.64551282051282,3.1621621621621623,3.87,2.9685533961734256,3.215274834955061,5.295440196990967,Kevin Gausman,14107,592332,-0.24884783783783782,K.Gausman
3,Sonny Gray,MIN,9.0,8.0,10.0,3.79987,27.0,27.0,0.0,0.0,142.0,592.0,125.0,65.0,60.0,15.0,49.0,1.0,7.0,140.0,8.92481,3.11213,2.86775,0.985,0.23723,0.0827234,0.1545067802071571,0.234132,1.23235,0.289377,0.716716,,,3.73255,2.31644,1.93237,211.97000122070312,3.0866,-0.294339,0.552468,12768,MIN,8,8,0,32,32,184.0,8.951086956521738,2.690217391304348,0.391304347826087,0.2948207171314741,0.7677,0.473267326,0.051948051,92.84129464285714,2.7880434782608696,3.69,2.825692056572956,3.644259171252665,5.284530162811279,Sonny Gray,12768,543243,-1.0118265217391302,S.Gray
4,Gerrit Cole,NYY,15.0,8.0,17.0,3.2674,31.0,31.0,0.0,0.0,194.0,768.0,154.0,76.0,70.0,27.0,48.0,1.0,5.0,243.0,11.2755,2.24226,5.02864,1.24902,0.315864,0.0628131,0.2530509755015373,0.215498,1.04476,0.285534,0.764457,,,3.23399,4.12682,4.39242,16.06999969482422,2.34338,-1.82032,1.36845,13125,NYY,15,4,0,33,33,209.0,9.559808612440191,2.0669856459330145,0.861244019138756,0.2614503816793893,0.8043,0.396296296,0.094339622,96.83391003460208,2.626794258373206,3.48,3.164130791750821,3.5971969077461647,5.226980209350586,Gerrit Cole,13125,543037,-0.6406057416267941,G.Cole
5,Zac Gallen,ARI,11.0,8.0,14.0,3.50358,30.0,30.0,0.0,0.0,176.0,722.0,149.0,75.0,69.0,20.0,54.0,1.0,9.0,187.0,9.53683,2.74359,3.47603,1.01654,0.258584,0.0743905,0.1841933280229568,0.225523,1.1493,0.284428,0.732631,,,3.52176,2.99655,3.5575,71.13999938964844,3.77876,-0.131739,0.715264,19291,ARI,17,9,0,34,34,210.0,9.428571428571429,2.0142857142857142,0.9428571428571428,0.3007246376811594,0.7314,0.417832167,0.109452736,93.51571164510166,3.4714285714285715,4.18,3.2645636921837218,3.485153864395051,5.165850162506104,Zac Gallen,19291,668678,-0.032151428571428387,Z.Gallen
6,Justin Steele,CHC,8.0,8.0,9.0,3.78339,27.0,27.0,0.0,0.0,144.0,610.0,130.0,66.0,60.0,13.0,57.0,1.0,7.0,142.0,8.87829,3.55055,2.50054,0.840251,0.23214,0.0928362,0.1393041908740997,0.236951,1.29696,0.296504,0.72028,,,3.67579,2.28495,2.19233,285.2200012207031,1.75314,-0.537123,0.761086,17312,CHC,16,5,0,30,30,173.1,9.138479505043817,1.869234444213508,0.7269245060830309,0.3167701863354037,0.73,0.493877551,0.098591549,,3.063467561349916,3.5,3.0185009560773386,3.3229791360742857,4.872099876403809,Justin Steele,17312,657006,-0.7199224386500838,J.Steele
7,Logan Webb,SFG,13.0,9.0,15.0,3.58339,32.0,32.0,0.0,0.0,190.0,792.0,182.0,82.0,76.0,13.0,51.0,1.0,9.0,163.0,7.71906,2.41177,3.20058,0.639482,0.205689,0.0642661,0.1414225623011589,0.24808,1.22477,0.302499,0.703808,,,3.25969,3.85976,3.44666,108.51000213623048,3.99961,1.16035,1.00644,17995,SFG,11,13,0,33,33,216.0,8.083333333333334,1.2916666666666667,0.8333333333333334,0.3016666666666667,0.7368,0.621138211,0.153846153,92.669913232854,3.25,3.66,3.16244729006732,2.9538171007677363,4.854579925537109,Logan Webb,17995,657277,-0.3333900000000001,L.Webb
8,Zach Eflin,TBR,8.0,8.0,10.0,3.91323,26.0,26.0,0.0,0.0,143.0,591.0,139.0,68.0,62.0,17.0,31.0,1.0,6.0,123.0,7.75368,1.93747,4.00197,1.04131,0.208592,0.0521223,0.156469389796257,0.251519,1.18975,0.296422,0.697761,,,3.661,2.35416,1.91542,275.3399963378906,2.6134,0.125822,0.419429,13774,TBR,16,8,0,31,31,177.2,9.422120764352217,1.2157575179809312,0.9624747017349038,0.2951167728237792,0.7323,0.497925311,0.11728395,93.10000253652598,3.495302864195177,3.11,3.0073855734415744,3.124701515948757,4.799570083618164,Zach Eflin,13774,621107,-0.4179271358048231,Z.Eflin
9,Pablo López,MIN,10.0,9.0,12.0,3.77097,29.0,29.0,0.0,0.0,166.0,686.0,151.0,75.0,69.0,20.0,47.0,1.0,8.0,164.0,8.88389,2.56105,3.46885,1.06006,0.238453,0.0687411,0.169711634516716,0.23897,1.19357,0.293157,0.717567,,,3.67659,2.52535,2.36667,164.88999938964844,2.33441,-0.403719,0.691259,17085,MIN,11,8,0,32,32,194.0,10.855670103092784,2.2268041237113403,1.11340206185567,0.3127572016460905,0.7623,0.452380952,0.13114754,94.87547709923663,3.6649484536082473,3.0,3.3323594702887784,3.283718149010668,4.470280170440674,Pablo Lopez,17085,641154,-0.10602154639175287,P.López
