Market Name,Outcome,Bet Price
Winning League,National League Team,-125
Winning League,American League Team,-105
"MLB 2024 Regular Season ""Any"" Specials",40-40 Club - Any 2+ Players To Record 40+ Home Runs & 40+ Stolen Bases Each,+110
"MLB 2024 Regular Season ""Any"" Specials",40-40 Club - Any 3+ Players To Record 40+ Home Runs & 40+ Stolen Bases Each,+500
"MLB 2024 Regular Season ""Any"" Specials",Any Pitcher To Win The Regular Season AL Or NL MVP 2024,+1800
"MLB 2024 Regular Season ""Any"" Specials",Any Player To Hit 55+ Home Runs,+170
"MLB 2024 Regular Season ""Any"" Specials",Any Player To Hit 60+ Home Runs,+675
"MLB 2024 Regular Season ""Any"" Specials",Any Player To Hit For The Triple Crown,+7000
"MLB 2024 Regular Season ""Any"" Specials",Any Relief Pitcher To Win The NL Or AL Cy Young 2024,+2000
"MLB 2024 Regular Season ""Any"" Specials",Any Team 110+ Losses,-150
"MLB 2024 Regular Season ""Any"" Specials",Any Team 120+ Losses,+1200
"MLB 2024 Regular Season ""Any"" Specials",Any Team 110+ Wins,+200
"MLB 2024 Regular Season ""Any"" Specials",Any Team 116+ Wins,+900
Arizona Diamondbacks - Merrill Kelly Total Strikeouts,Over 170.5,-105
Arizona Diamondbacks - Merrill Kelly Total Strikeouts,Under 170.5,-125
Arizona Diamondbacks - Zac Gallen ERA,Over 3.35,-125
Arizona Diamondbacks - Zac Gallen ERA,Under 3.35,-105
Arizona Diamondbacks - Zac Gallen Total Strikeouts,Over 192.5,-115
Arizona Diamondbacks - Zac Gallen Total Strikeouts,Under 192.5,-115
Arizona Diamondbacks - Zac Gallen Total Wins,Over 11.5,-115
Arizona Diamondbacks - Zac Gallen Total Wins,Under 11.5,-115
Atlanta Braves - Charlie Morton Total Strikeouts,Over 170.5,-115
Atlanta Braves - Charlie Morton Total Strikeouts,Under 170.5,-115
Atlanta Braves - Charlie Morton Total Wins,Over 11.5,-115
Atlanta Braves - Charlie Morton Total Wins,Under 11.5,-115
Atlanta Braves - Max Fried Total Strikeouts,Over 163.5,-115
Atlanta Braves - Max Fried Total Strikeouts,Under 163.5,-115
Atlanta Braves - Spencer Strider ERA,Over 3.05,-115
Atlanta Braves - Spencer Strider ERA,Under 3.05,-115
Atlanta Braves - Spencer Strider Total Strikeouts,Over 245.5,-115
Atlanta Braves - Spencer Strider Total Strikeouts,Under 245.5,-115
Atlanta Braves - Spencer Strider Total Wins,Over 15.5,-115
Atlanta Braves - Spencer Strider Total Wins,Under 15.5,-115
Baltimore Orioles - Corbin Burnes ERA,Over 3.30,-125
