Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",14.6132,6.9654,19.2748,3.18216,30.78,30.78,0,0,184.802,752.143,138.549,70.4336,65.3409,21.0674,61.9503,,7.8749,257.091,12.5206,3.01703,4.14995,1.026,0.341811,0.0823651,0.2594461590051651,0.203056,1.08494,0.290681,0.760596,0.371294,,3.08821,4.93793,5.20743,6.829999923706055,,,,"27498"
"Zack Wheeler","PHI",13.1969,9.6462,19.6278,3.54449,32,32,0,0,197.442,812.519,179.037,84.5122,77.759,24.066,47.4568,,9.3488,199.971,9.11526,2.16322,4.21374,1.097,0.246112,0.058407,0.1877049133181572,0.236911,1.14714,0.291475,0.736413,0.438131,,3.67711,4.72017,4.56319,24.899999618530273,,,,"10310"
"Kevin Gausman","TOR",13.1094,9.4909,19.1925,3.47675,32,32,0,0,193.298,797.433,167.236,80.9288,74.672,24.6132,51.6106,,5.1155,221.434,10.3101,2.40301,4.29048,1.146,0.277684,0.0647209,0.21296296268701553,0.225779,1.13217,0.288325,0.747975,0.407655,,3.49965,4.34141,4.14222,27.329999923706055,,,,"14107"
"Aaron Nola","PHI",12.557,10.1767,18.3163,3.80916,32,32,0,0,195.107,807.895,182.26,89.1423,82.577,27.9003,44.3664,,6.8138,201.916,9.31409,2.04656,4.55109,1.287,0.249928,0.054916,0.19501198083162308,0.240857,1.16155,0.292959,0.73299,0.422704,,3.8312,4.22702,4.00146,50.810001373291016,,,,"16149"
"Logan Webb","SFG",12.3573,10.7592,20.3239,3.52849,32,32,0,0,201.377,842.934,202.495,87.4387,78.9507,17.6317,44.4462,,8.1149,181.053,8.09168,1.9864,4.07353,0.788,0.214789,0.052728,0.16206097230315208,0.256201,1.22626,0.312433,0.717649,0.562293,,3.37814,4.08379,3.89069,60.33000183105469,,,,"17995"
"Framber Valdez","HOU",13.908,8.3404,20.3171,3.388,30.78,30.78,0,0,195.497,810.855,179.557,81.5034,73.5938,16.7693,62.6532,,9.8713,197.665,9.09982,2.88433,3.15491,0.772,0.243774,0.0772681,0.16650598496198654,0.243193,1.23894,0.310725,0.734716,0.570289,,3.46089,4.06378,4.34116,59.36000061035156,,,,"17295"
"Pablo López","MIN",12.8104,9.802,19.0367,3.51951,32,32,0,0,193.266,801.268,171.759,82.1479,75.5779,22.3974,53.2948,,8.8156,214.527,9.99007,2.48183,4.02528,1.043,0.267734,0.0665131,0.20122094452381134,0.232371,1.16448,0.297395,0.737779,0.440201,,3.5057,4.06248,4.08104,34.66999816894531,,,,"17085"
"Tarik Skubal","DET",11.3458,8.9813,17.1219,3.33988,29.16,29.16,0,0,171.185,702.729,148.31,69.1111,63.5263,19.5531,46.4061,,6.3843,197.575,10.3875,2.43979,4.25752,1.028,0.281154,0.066037,0.21511705964803696,0.228191,1.13746,0.297491,0.75059,0.431199,,3.35675,4.02042,4.15121,49.810001373291016,,,,"22267"
"Tyler Glasnow","LAD",11.2838,6.8424,15.1237,3.48186,25.92,25.92,0,0,154.066,632.193,128.469,64.6159,59.6038,18.7789,47.5567,,4.237,191.814,11.2052,2.77811,4.03338,1.097,0.303411,0.075225,0.22818618267774582,0.221346,1.14254,0.296615,0.744045,0.442856,,3.3581,3.7091,3.39786,39.36000061035156,,,,"14374"
"Zac Gallen","ARI",12.3759,10.4379,18.4612,3.82357,32,32,0,0,196.31,824.139,185.459,90.2162,83.4005,23.9498,54.1327,,8.1961,202.589,9.28787,2.48176,3.74245,1.098,0.245819,0.0656839,0.18013504147529602,0.243446,1.22048,0.301734,0.724906,0.427325,,3.72958,3.61066,3.87515,39.86000061035156,,,,"19291"
"Gerrit Cole","NYY",13.4925,9.4972,19.4061,3.7318,32,32,0,0,200.133,830.084,177.321,89.3978,82.9842,29.2639,53.2275,,6.5361,224.864,10.1121,2.39364,4.22458,1.316,0.270893,0.064123,0.20677003264427185,0.230191,1.15198,0.286826,0.744548,0.399444,,3.80464,3.56305,3.60886,12.520000457763672,,,,"13125"
"Max Fried","ATL",13.6392,7.9715,17.9053,3.57601,30.78,30.78,0,0,184.58,772.946,180.817,80.4798,73.3398,20.1397,46.4626,,6.9588,176.374,8.5999,2.26549,3.79604,0.982,0.228184,0.0601111,0.16807306185364723,0.2513,1.23133,0.307215,0.737376,0.497557,,3.63066,3.52966,4.1138,61.7400016784668,,,,"13743"
"George Kirby","SEA",12.1851,10.35,18.4303,3.6094,32,32,0,0,191.482,786.053,181.278,83.3436,76.793,25.1055,32.8476,,7.8204,183.8,8.63893,1.54389,5.59555,1.18,0.233827,0.041788,0.19203882291913033,0.243201,1.11825,0.291107,0.730716,0.42968,,3.67688,3.50782,3.50368,34.900001525878906,,,,"25436"
"Zach Eflin","TBR",11.943,9.7097,17.6038,3.6356,30.78,30.78,0,0,183.966,758.936,176.28,80.8539,74.3141,23.2819,35.0674,,6.4836,177.644,8.69071,1.71557,5.06579,1.139,0.23407,0.046206,0.18786393478512764,0.245725,1.14884,0.296244,0.730022,0.451045,,3.64658,3.37916,3.29863,82.87999725341797,,,,"13774"
"Luis Castillo","SEA",12.2616,10.4748,18.9297,3.6264,32,32,0,0,194.922,814.891,174.659,85.3887,78.5405,24.2786,59.1456,,7.4848,205.181,9.47371,2.73089,3.46909,1.121,0.25179,0.072581,0.1792088747024536,0.23342,1.19948,0.289861,0.742768,0.435086,,3.79449,3.37395,3.53813,29.520000457763672,,,,"15689"
"Yoshinobu Yamamoto","LAD",12.2529,8.778,17.1095,3.97862,29.16,29.16,0,0,183.708,768.331,170.521,87.1337,81.2116,27.4746,50.1444,,6.7252,199.681,9.78252,2.45661,3.98212,1.346,0.259889,0.0652641,0.19462497532367706,0.239678,1.20118,0.295364,0.732882,0.39877,,3.95406,3.36776,3.05232,44.400001525878906,,,,"sa3023345"
"Justin Steele","CHC",11.4814,10.0226,16.961,3.6883,30.78,30.78,0,0,181.11,755.886,170.783,81.047,74.221,20.1636,55.154,,7.5022,173.885,8.64097,2.74079,3.15273,1.002,0.230042,0.072966,0.157075934112072,0.246359,1.24751,0.301734,0.732849,0.484242,,3.82003,3.32994,3.68421,102.16999816894531,,,,"17312"
"Freddy Peralta","MIL",10.8498,9.3161,15.5157,3.68384,29.16,29.16,0,0,168.091,700.378,139.53,73.9951,68.8022,22.7109,58.6336,,7.6586,200.672,10.7445,3.13939,3.42248,1.216,0.28652,0.0837171,0.20280304551124573,0.220049,1.17891,0.284437,0.746347,0.380175,,3.80697,3.31482,3.5302,52.619998931884766,,,,"18679"
"Jesús Luzardo","MIA",11.2915,10.2015,16.7165,3.74454,30.78,30.78,0,0,180.777,761.488,159.753,81.2057,75.2142,23.1395,62.7519,,7.4321,205.714,10.2415,3.12411,3.27821,1.152,0.270147,0.0824069,0.1877400502562523,0.23109,1.23083,0.295413,0.743252,0.403827,,3.80786,3.31375,3.73415,80.69000244140625,,,,"19959"
