Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",14.3392,6.86527,13.1067,3.21003,29.562,29.562,0,0,175.569,715.341,132.551,67.45,62.62,20.7721,55.6862,1.32481,6.94047,253.528,12.9963,2.85458,4.5528,1.06482,0.354415,0.0778456,0.27656980603933334,0.203077,1.07216,0.295388,0.758923,,,2.97516,5.44954,4.84552,6.829999923706055,,,,"27498"
"Zack Wheeler","PHI",12.6944,8.55157,13.3879,3.49995,29.732,29.732,0,0,176.608,725.424,153.472,73.81,68.68,19.8477,45.6155,1.17398,7.27764,186.532,9.50574,2.32458,4.08923,1.01145,0.257135,0.0628812,0.1942543163895607,0.228201,1.12729,0.286656,0.731332,,,3.50212,4.60468,4.13719,24.899999618530273,,,,"10310"
"Kevin Gausman","TOR",11.7965,9.47323,13.8736,3.83977,29.736,29.736,0,0,178.089,737.054,157.235,81.62,75.98,23.7093,48.8909,1.02343,5.24186,209.568,10.5909,2.47078,4.28645,1.19818,0.284333,0.0663329,0.21799969673156738,0.230239,1.15743,0.296959,0.719966,,,3.54412,4.25805,3.34735,27.329999923706055,,,,"14107"
"Logan Webb","SFG",11.5769,9.56222,13.098,3.56995,29.827,29.827,0,0,174.935,724.823,170.895,75.15,69.39,13.9373,39.3058,0.992361,7.20955,150.259,7.73044,2.02219,3.82281,0.717043,0.207304,0.0542281,0.15307562053203583,0.251944,1.20159,0.3053,0.708228,,,3.37059,4.24657,3.88975,60.33000183105469,,,,"17995"
"Pablo López","MIN",11.397,9.46908,12.335,3.63999,29.943,29.943,0,0,170.555,708.572,150.624,74.3,68.98,19.2901,48.4975,1.36238,8.53582,188.189,9.93052,2.55915,3.88039,1.01791,0.265589,0.0684439,0.19714535027742386,0.231182,1.16749,0.295757,0.725219,,,3.52177,4.16469,3.72226,34.66999816894531,,,,"17085"
"Freddy Peralta","MIL",11.0532,8.70587,11.5054,3.57008,28.442,28.442,0,0,161.039,663.848,127.682,68.44,63.88,20.6467,55.2161,0.94695,7.52661,192.466,10.7564,3.08587,3.48568,1.15389,0.289925,0.0831758,0.2067488133907318,0.212412,1.13574,0.275869,0.743269,,,3.7003,3.77623,3.68606,52.619998931884766,,,,"18679"
"George Kirby","SEA",10.9154,9.62633,11.7548,3.72017,29.819,29.819,0,0,166.42,680.871,156.785,74.21,68.79,20.6063,29.3209,1.16899,6.15105,149.987,8.11133,1.58567,5.11538,1.11439,0.220288,0.0430638,0.1772237978875637,0.242928,1.11829,0.28681,0.711548,,,3.70164,3.7537,3.38065,34.900001525878906,,,,"25436"
"Corbin Burnes","BAL",11.976,9.37165,13.2446,3.69019,30.215,30.215,0,0,176.576,737.055,155.446,77.69,72.4,20.5077,56.137,0.986392,7.94291,184.113,9.38414,2.86127,3.27971,1.04527,0.249796,0.0761639,0.17363177984952927,0.230983,1.19825,0.288111,0.732167,,,3.76821,3.75033,3.70415,24.3799991607666,,,,"19361"
"Aaron Nola","PHI",11.7257,9.23963,13.1059,3.87024,29.776,29.776,0,0,173.594,713.617,157.928,80.73,74.65,24.7169,38.605,1.10459,6.91654,180.06,9.33522,2.00148,4.66416,1.28145,0.25232,0.0540977,0.19822265207767487,0.236386,1.13214,0.287516,0.715146,,,3.81822,3.7475,3.18308,50.810001373291016,,,,"16149"
"Luis Castillo","SEA",11.7788,9.74709,13.7116,3.7299,30.24,30.24,0,0,179.232,746.163,154.64,80.05,74.28,21.6915,59.2794,1.02697,7.11999,188.647,9.47275,2.97666,3.18234,1.08922,0.252823,0.0794457,0.17337745428085327,0.227492,1.19353,0.283217,0.72933,,,3.83469,3.71432,3.62701,29.520000457763672,,,,"15689"
"Max Fried","ATL",11.868,6.70686,10.1019,3.38986,27.354,27.354,0,0,149.9,614.497,134.444,60.8,56.46,14.9491,36.4752,1.22806,5.1325,144.855,8.69708,2.18997,3.97132,0.897546,0.235729,0.0593579,0.1763710007071495,0.234678,1.14023,0.289275,0.734176,,,3.45152,3.69204,3.68882,61.7400016784668,,,,"13743"
"Zac Gallen","ARI",11.5846,9.34942,12.6411,3.87008,30.059,30.059,0,0,171.787,717.691,159.672,79.38,73.87,20.6386,46.5261,1.01268,7.19225,174.816,9.1587,2.43752,3.75738,1.08126,0.243582,0.0648276,0.17875416576862335,0.24048,1.20031,0.296753,0.715258,,,3.71971,3.67741,3.25834,39.86000061035156,,,,"19291"
"Gerrit Cole","NYY",12.7414,8.88037,13.7972,3.84979,30.47,30.47,0,0,179.986,742.867,156.702,82.67,76.99,27.0462,50.3117,0.910708,5.467,197.795,9.89052,2.51577,3.9314,1.35241,0.26626,0.0677264,0.19853318482637405,0.228067,1.15016,0.280491,0.735114,,,3.94035,3.54839,3.37702,12.520000457763672,,,,"13125"
"Tarik Skubal","DET",9.14061,8.95393,8.28209,3.48975,27.573,27.573,0,0,139.575,574.763,118.724,58.43,54.12,16.2777,40.7473,0.908435,5.12171,161.814,10.434,2.62746,3.97115,1.04961,0.281531,0.0708941,0.21063696593046188,0.224476,1.14255,0.292035,0.739241,,,3.43838,3.51893,3.31894,49.810001373291016,,,,"22267"
"Framber Valdez","HOU",12.0533,8.11525,12.101,3.64024,28.873,28.873,0,0,165.673,698.786,151.08,72.4,67.01,14.843,58.2157,1.00122,9.45947,163.828,8.89974,3.1625,2.81415,0.806326,0.234446,0.0833099,0.15113626420497894,0.239388,1.26331,0.301117,0.726178,,,3.66747,3.38328,3.59605,59.36000061035156,,,,"17295"
"Justin Steele","CHC",10.1613,9.70074,11.4918,3.91985,28.873,28.873,0,0,160.996,680.37,153.555,76.03,70.12,16.981,50.8683,0.994309,6.97986,154.282,8.6247,2.84364,3.03297,0.94927,0.226763,0.0747657,0.15199679881334305,0.246666,1.26974,0.302651,0.71073,,,3.78755,3.34124,2.83478,102.16999816894531,,,,"17312"
