Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Aaron Nola","PHI",12,8,,3.83509,30,30,0,0,180.7,735,165,83,77,20,36,1,6,188,9.36359,1.79303,5.22222,0.996126,0.255782,0.0489796,0.20680271461606026,0.238095,1.11234,0.298969,0.682081,,,3.31038,4.92919,3.55191,50.810001373291016,,,,"16149"
"Spencer Strider","ATL",15,6,,3.28386,30,28,0,0,161.7,657,122,64,59,19,49,1,9,234,13.0241,2.72727,4.77551,1.05751,0.356164,0.0745814,0.2815829664468765,0.203673,1.05751,0.297688,0.740997,,,2.96438,4.64233,4.31433,6.829999923706055,,,,"27498"
"Zack Wheeler","PHI",11,7,,3.61047,29,29,0,0,172,713,155,75,69,16,48,1,7,172,9,2.51163,3.58333,0.837209,0.241234,0.0673212,0.17391304671764374,0.235562,1.18023,0.295745,0.708749,,,3.42365,4.54406,3.80465,24.899999618530273,,,,"10310"
"Corbin Burnes","BAL",10,7,,3.31844,30,30,0,0,179,730,144,71,66,17,56,0,8,197,9.90503,2.81564,3.51786,0.854749,0.269863,0.0767123,0.19315068423748016,0.216216,1.11732,0.280973,0.732123,,,3.36119,4.36041,4.70555,24.3799991607666,,,,"19361"
"Logan Webb","SFG",13,9,,3.32812,31,31,0,0,192,788,181,77,71,16,41,0,7,166,7.78125,1.92188,4.04878,0.75,0.21066,0.0520305,0.15862943604588509,0.244595,1.15625,0.295699,0.726453,,,3.35921,4.14466,4.60059,60.33000183105469,,,,"17995"
"Sandy Alcantara","MIA",11,9,,3.52849,29,29,0,0,191.3,782,174,81,75,19,45,1,7,172,8.092,2.11709,3.82222,0.893884,0.219949,0.0575448,0.16240408644080162,0.238356,1.1448,0.28757,0.717256,,,3.56346,3.9921,4.49607,999,,,,"18684"
"Luis Castillo","SEA",12,8,,3.26716,30,30,0,0,176.3,718,146,69,64,18,52,1,6,187,9.54623,2.65457,3.59615,0.918888,0.260446,0.0724234,0.18802228569984436,0.221212,1.12309,0.281319,0.746528,,,3.44789,3.91285,4.2065,29.520000457763672,,,,"15689"
"Kevin Gausman","TOR",12,7,,3.46154,29,29,0,0,169,699,158,70,65,22,40,0,3,184,9.79882,2.13018,4.6,1.1716,0.263233,0.0572246,0.20600857958197594,0.240854,1.1716,0.302222,0.76555,,,3.53315,3.82441,3.81993,27.329999923706055,,,,"14107"
"Yoshinobu Yamamoto","LAD",14,7,,3.52014,26,26,0,0,171.3,672,130,72,67,22,35,1,5,167,8.77408,1.83888,4.77143,1.15587,0.248512,0.0520833,0.1964285783469677,0.205696,0.963222,0.243792,0.692996,,,3.67536,3.72297,3.85194,44.400001525878906,,,,"sa3023345"
"Pablo López","MIN",10,7,,3.67876,30,30,0,0,173.7,715,152,77,71,20,45,1,9,189,9.79275,2.33161,4.2,1.03627,0.264336,0.0629371,0.2013985961675644,0.229955,1.13414,0.292035,0.710059,,,3.50835,3.70718,3.3812,34.66999816894531,,,,"17085"
"Gerrit Cole","NYY",11,8,,3.52657,30,30,0,0,186.3,756,159,79,73,26,50,0,4,201,9.71014,2.41546,4.02,1.25604,0.265873,0.0661376,0.19973544776439667,0.226496,1.12185,0.28,0.753187,,,3.78107,3.53293,3.95424,12.520000457763672,,,,"13125"
"George Kirby","SEA",12,8,,3.48214,29,29,0,0,168,691,162,70,65,19,27,1,6,151,8.08929,1.44643,5.59259,1.01786,0.218524,0.0390738,0.17945006862282753,0.246201,1.125,0.293033,0.732759,,,3.51695,3.51672,3.52276,34.900001525878906,,,,"25436"
